chinese,pinyin,english,thai
交/直流电源柜,jiāo / zhí liú diàn yuán guì,AC/DC Power Cabinet,ตู้แหล่งจ่ายไฟ AC/DC
电流值/安培数,diàn liú zhí / ān péi shù,Amperage,ค่ากระแสไฟฟ้า (amperage)
合适容量,hé shì róng liàng,Appropriate Capacity / Right-Sizing,ขนาดความจุที่เหมาะสม
备用发电机,bèi yòng fā diàn jī,Backup Generator,เครื่องปั่นไฟสำรอง (generator)
电池,diàn chí,Batteries,แบตเตอรี่
蓄电池组,xù diàn chí zǔ,Battery Bank / Battery String,ชุดแบตเตอรี่สำรอง
电池组件,diàn chí zǔ jiàn,Battery Component,ชิ้นส่วนของแบตเตอรี่
电池健康状态,diàn chí jiàn kāng zhuàng tài,Battery Health,สถานะสุขภาพของแบตเตอรี่
电池短路,diàn chí duǎn lù,Battery Short Circuit,แบตเตอรี่ลัดวงจร
支路电路,zhī lù diàn lù,Branch Circuit,วงจรย่อย (branch circuit)
断路器协调,duàn lù qì xié tiáo,Breaker Coordination,การประสานงานเบรกเกอร์ (breaker coordination)
旁路,páng lù,Bypass (UPS Bypass),โหมด bypass ของ UPS
电容器放电,diàn róng qì fàng diàn,Capacitor Discharge,การคายประจุตัวเก็บประจุ (capacitor)
断路器,duàn lù qì,Circuit Breaker,เบรกเกอร์ (circuit breaker)
计算机负载,jì suàn jī fù zài,Computer Load,โหลดของเครื่องคอมพิวเตอร์
连续负载,lián xù fù zài,Continuous Load,โหลดต่อเนื่อง (continuous load)
关键负载,guān jiàn fù zài,Critical Load,โหลดที่สำคัญต่อระบบ (critical load)
电流消耗,diàn liú xiāo hào,Current Draw,กระแสไฟที่อุปกรณ์ดึงใช้
机房电源系统,jī fáng diàn yuán xì tǒng,Data Hall / Equipment Room Power System,ระบบไฟฟ้าภายในห้อง data hall
直流电,zhí liú diàn,DC (Direct Current),ไฟฟ้ากระแสตรง (DC)
直流电压限值,zhí liú diàn yā xiàn zhí,DC Voltage Limit,ค่าจำกัดแรงดันไฟฟ้ากระแสตรง (DC)
降额,jiàng é,De-rating,การลดพิกัดกำลัง (de-rating)
柴油发电机组,chái yóu fā diàn jī zǔ,Diesel Generator Set,เครื่องกำเนิดไฟฟ้าดีเซล
容灾,róng zāi,Disaster Recovery / Fault Tolerance,การกู้คืนระบบจากภัยพิบัติ
配电设备,pèi diàn shè bèi,Distribution Equipment,อุปกรณ์จ่ายไฟ
配电盘,pèi diàn pán,Distribution Panels,แผงจ่ายไฟ (distribution panel)
干式变压器,gān shì biàn yā qì,Dry-type Transformer,หม้อแปลงไฟฟ้าชนิดแห้ง
双路径系统,shuāng lù jìng xì tǒng,Dual Path System,ระบบไฟฟ้าสองเส้นทาง (dual path)
双路供电路径,shuāng lù gōng diàn lù jìng,Dual Power Path,เส้นทางจ่ายไฟสองเส้นทาง (dual power path)
双电源输入设备,shuāng diàn yuán shū rù shè bèi,Dual-corded Equipment,อุปกรณ์ที่มีสายไฟเข้าสองเส้น (dual-corded)
电气设备,diàn qì shè bèi,Electrical Equipment,อุปกรณ์ไฟฟ้า
电力系统,diàn lì xì tǒng,Electrical Power Systems,ระบบไฟฟ้ากำลัง
电力进线/总进线,diàn lì jìn xiàn / zǒng jìn xiàn,Electrical Service Entrance,จุดเข้าไฟฟ้าหลัก (service entrance)
电,diàn,Electricity/Power,ไฟฟ้า
储能系统,chǔ néng xì tǒng,Energy Storage System,ระบบกักเก็บพลังงาน
熔断器,róng duàn qì,Fuse,ฟิวส์ (fuse)
发电机系统,fā diàn jī xì tǒng,Generator System,ระบบเครื่องกำเนิดไฟฟ้า
发电机,fā diàn jī,Generators,เครื่องกำเนิดไฟฟ้า (generator)
电网,diàn wǎng,Grids,ระบบสายส่งไฟฟ้า (grid)
地线回路,dì xiàn huí lù,Ground Wire Loop / Circuit,วงจรสายกราวด์
谐波,xié bō,Harmonics,ฮาร์มอนิก (harmonics)
高效不间断电源,gāo xiào bù jiàn duàn diàn yuán,High-Efficiency Uninterruptible Power Supply,ระบบ UPS ประสิทธิภาพสูง
高压带电作业,gāo yā dài diàn zuò yè,High-Voltage Live Work,งานปฏิบัติกับไฟฟ้าแรงดันสูงขณะมีไฟ
高低压配电,gāo dī yā pèi diàn,High/Low Voltage Distribution,การจ่ายไฟแรงสูง/แรงต่ำ
断开点,duàn kāi diǎn,Isolation Point / Disconnect Point,จุดตัดแยกวงจร (isolation point)
IT负载,IT fù zài,IT Load,โหลดของอุปกรณ์ IT
开关刀,kāi guān dāo,Knife Switch,สวิตช์ใบมีด (knife switch)
千瓦 (kW),qiān wǎ,kW (kilowatt),กิโลวัตต์ (kW)
铅酸蓄电池,qiān suān xù diàn chí,Lead-Acid Battery,แบตเตอรี่ตะกั่วกรด (lead-acid battery)
锂离子电池,lǐ lí zǐ diàn chí,Lithium-ion Batteries,แบตเตอรี่ลิเธียมไอออน
在线维护,zài xiàn wéi hù,Live (Online) Maintenance,การบำรุงรักษาโดยไม่ตัดไฟ (live maintenance)
相线,xiàng xiàn,Live Wire / Phase Wire,สายไฟเฟส (live wire)
